nid,type,path
319345,"teaser image",/sites/default/files/news_article_images/tes190816_jobs_hero.jpg
319345,attachment,/sites/default/files/news_article_files/leadership_020916.pdf
319345,attachment,/sites/default/files/news_article_files/jobs_020916.pdf
338576,"teaser image",/sites/default/files/news_article_images/tess240217_05_hero.jpg
338588,"teaser image",/sites/default/files/news_article_images/tes240217_27_hero.jpg
338723,"teaser image",/sites/default/files/tes240217_ditl_hero.jpg
338744,"teaser image",/sites/default/files/quit_0.jpg
339431,"teaser image",/sites/default/files/tess030317_06_hero.jpg
339812,"teaser image",/sites/default/files/michael_gove_0_0.jpg
339818,"teaser image",/sites/default/files/sensoryroom.jpg
339854,"teaser image",/sites/default/files/t-levels_0.jpg
340346,"teaser image",/sites/default/files/news_article_images/tes100317_51_hero.jpg
340358,"teaser image",/sites/default/files/news_article_images/tes100317_40_hero.jpg
342350,"teaser image",/sites/default/files/it.jpg
342494,"teaser image",/sites/default/files/news_article_images/tes310317_63_hero.jpg
343256,"teaser image",/sites/default/files/631.jpg
343334,"teaser image",/sites/default/files/news_article_images/tes070417_37_hero.jpg
343625,"teaser image",/sites/default/files/paper_pen_0.jpg
343994,"teaser image",/sites/default/files/news_article_images/istock_000002575669medium_1.png
344153,"teaser image",/sites/default/files/tes140417_ditl_hero.jpg
344306,"teaser image",/sites/default/files/bernard_1_6.jpg
344852,"teaser image",/sites/default/files/child_reading_with_teacher_0.jpg
345053,"teaser image",/sites/default/files/gcse_a_level_2.jpg
345349,"teaser image",/sites/default/files/news_article_images/tess280417_14_hero.jpg
345445,"teaser image",/sites/default/files/news_article_images/tes280417_52_hero.jpg
346006,"teaser image",/sites/default/files/news_article_images/tes050517_12_hero.jpg
346045,"teaser image",/sites/default/files/tes050517_44_hero.jpg
346228,"teaser image",/sites/default/files/tes-careers_which_union_0_0.jpg
347131,"teaser image",/sites/default/files/merger_1_6_0.jpg
347263,"teaser image",/sites/default/files/news_article_images/istock-625736338_1.jpg
347521,"teaser image",/sites/default/files/news_article_images/tes190517_24_hero.jpg
347587,"teaser image",/sites/default/files/tes190517_22_hero.jpg
348247,"teaser image",/sites/default/files/news_article_images/tes260517_30_hero.jpg
348991,"teaser image",/sites/default/files/news_article_images/tes020617_13_hero.jpg
349021,"teaser image",/sites/default/files/news_article_images/tes020617_54_hero.jpg
349777,"teaser image",/sites/default/files/tes090617_quiz_hero.jpg
350083,"teaser image",/sites/default/files/news_article_images/istock_000042210488_drupalcrop_3.png
351412,"teaser image",/sites/default/files/news_article_images/istock_mission_9.jpg
351757,"teaser image",/sites/default/files/calendar_0.jpg
351853,"teaser image",/sites/default/files/news_article_images/poverty3_3_0.png
352210,"teaser image",/sites/default/files/news_article_images/grammar-school-selection_0_6.jpg
353392,"hero image",/sites/default/files/news_article_images/tes140717_11_hero.jpg
354568,"teaser image",/sites/default/files/mind_the_gap.jpg
354697,"teaser image",/sites/default/files/news_article_images/tes280717_16_hero.jpg
355204,"teaser image",/sites/default/files/news_article_images/tes040817_quiz_hero.jpg
355327,"teaser image",/sites/default/files/clock_3.jpg
355651,"teaser image",/sites/default/files/english_nl.jpg
355669,"teaser image",/sites/default/files/bomb_squad.jpg
356029,"teaser image",/sites/default/files/teswebresults3_1_0.jpg
356248,"teaser image",/sites/default/files/social_mobility_1.jpg
357121,"teaser image",/sites/default/files/tes250817_quiz_hero.jpg
357181,"teaser image",/sites/default/files/tess250817_16_hero.jpg
357295,"teaser image",/sites/default/files/english_nl_0.jpg
357688,"teaser image",/sites/default/files/news_article_images/tes010917_54_hero.jpg
357721,"teaser image",/sites/default/files/news_article_images/tes010917_58_hero.jpg
357805,"teaser image",/sites/default/files/tess010917_08_hero.jpg
357880,"teaser image",/sites/default/files/news_article_images/change_10.jpg
358183,"teaser image",/sites/default/files/money_13.png
359092,"teaser image",/sites/default/files/recruitment_4.jpg
359653,"teaser image",/sites/default/files/justine-greening_12.jpg
360877,"teaser image",/sites/default/files/angela_rayner_3.jpg
360889,"teaser image",/sites/default/files/teacher_training_pic.jpg
361729,"teaser image",/sites/default/files/paul_whiteman_1.jpg
362581,"teaser image",/sites/default/files/parents_doing_schoolwork.jpg
362776,"teaser image",/sites/default/files/planning_0.jpg
362830,"teaser image",/sites/default/files/5741-a-pile-of-british-bank-notes-pv_11.jpg
363439,"teaser image",/sites/default/files/news_article_images/nt14.jpg
363466,"teaser image",/sites/default/files/news_article_images/nt9.jpg
364483,"teaser image",/sites/default/files/classroom_0_2.jpg
365041,"teaser image",/sites/default/files/secondary_places_1.jpg
365494,"teaser image",/sites/default/files/news_article_images/tes031117_36_hero.jpg
365980,"teaser image",/sites/default/files/send_9.jpg
366966,"teaser image",/sites/default/files/stressed_out_teacher.jpg
367509,"teaser image",/sites/default/files/tes241117_56_hero.jpg
367554,"teaser image",/sites/default/files/news_article_images/tess241117_08_hero.jpg
367665,"teaser image",/sites/default/files/bigpicture.jpg
368322,"teaser image",/sites/default/files/trips_leader.jpg
368739,"teaser image",/sites/default/files/improvement.jpg
369327,"teaser image",/sites/default/files/news_article_images/tess081217_13_hero.jpg
369429,"teaser image",/sites/default/files/news_article_images/tes081217_25_hero.jpg
369450,"teaser image",/sites/default/files/careers2_2.jpg
369669,"teaser image",/sites/default/files/amanda-spielman-ofsted_0_4.png
369891,"teaser image",/sites/default/files/news_article_images/amanda_spielman_7_0.jpg
370125,"teaser image",/sites/default/files/tes151217_52_hero.jpg
370908,"teaser image",/sites/default/files/gordon_marsden_2_0.jpg
371430,"teaser image",/sites/default/files/justine_greening_2_3_2.jpg
371724,"teaser image",/sites/default/files/news_article_images/tes120118_31_hero.jpg
371907,"teaser image",/sites/default/files/news_article_images/wood-3071879_1280.jpg
372213,"teaser image",/sites/default/files/news_article_images/skipping.jpg
373035,"teaser image",/sites/default/files/news_article_images/tes260118_42_hero.jpg
373284,"teaser image",/sites/default/files/man_in_rainbow_suit_0.jpg
373449,"teaser image",/sites/default/files/news_article_images/anne_milton_1_rs_1_0.jpg
373548,"teaser image",/sites/default/files/money_ps20_notes_1.jpg
373656,"teaser image",/sites/default/files/news_article_images/2.jpg
373794,"teaser image",/sites/default/files/news_article_images/tes020218_55_hero.jpg
374058,"teaser image",/sites/default/files/news_article_images/al2018_58_hero.jpg
374142,"teaser image",/sites/default/files/news_article_images/norwich_1small_2.jpg
374379,"teaser image",/sites/default/files/city_of_london_skyline_from_london_city_hall_-_sept_2015_-_crop.jpg
374385,"teaser image",/sites/default/files/news_article_images/sex_ed_3.jpg
374445,"teaser image",/sites/default/files/news_article_images/tess090218_14_hero.jpg
374610,"teaser image",/sites/default/files/road-1135969_1920.jpg
374634,"teaser image",/sites/default/files/robot_7.jpg
374919,"teaser image",/sites/default/files/news_article_images/apprentices3_10.jpg
